Semester,WeekNum,Status
VIS3108-N,6,P
VIS3108-N,6,P
VIS3108-N,6,P
VIS3108-N,4,P
VIS3108-N,5,P
VIS3108-N,5,P
VIS3108-N,5,P
VIS3108-N,4,P
VIS3108-N,4,P
VIS3108-N,4,P
VIS3108-N,5,P
VIS3108-N,5,P
VIS3108-N,2,P
VIS3108-N,2,P
VIS3108-N,2,P
VIS3108-N,2,P
VIS3108-N,3,P
VIS3108-N,3,P
VIS3108-N,3,P
VIS3109-N,7,P
VIS3109-N,7,P
VIS3109-N,7,P
VIS3109-N,8,P
VIS3109-N,8,P
VIS3109-N,12,P
VIS3109-N,9,P
VIS3109-N,9,P
GAV3009-N,6,P
VIS3104-N,6,P
VIS3104-N,6,P
GAV3020-N,7,P
GAV3020-N,6,P
VIS3104-N,5,P
DES4032-N,11,P
DES4032-N,11,P
DES4032-N,12,P
DES4032-N,2,P
DES4032-N,3,P
DES4032-N,5,P
DES4032-N,7,P
DES4032-N,8,P
DES4032-N,10,P
DES4032-N,2,P
DES4032-N,3,P
DES4032-N,5,P
DES4032-N,7,P
DES4032-N,8,P
DES4032-N,10,P
DES3095-N,6,P
DES3095-N,6,P
DES3096-N,6,P
DES3096-N,4,P
DES3096-N,7,P
DES3095-N,5,P
DES3095-N,5,P
DES3095-N,4,P
DES3095-N,4,P
DES3096-N,4,P
DES3095-N,3,P
DES3095-N,3,P
DES3096-N,2,P
DES3096-N,2,P
DES3095-N,2,P
DES3095-N,2,P
DES3096-N,9,P
DES3096-N,9,P
DES3095-N,7,P
DES3095-N,8,P
DES3095-N,8,P
DES3096-N,8,P
DES3096-N,8,P
DES3096-N,6,P
DES3096-N,7,P
DES3095-N,7,P
DES3095-N,9,P
DES3095-N,9,P
DES3095-N,13,P
DES3095-N,13,P
DES3096-N,10,P
DES3096-N,10,P
DES3096-N,11,P
DES3096-N,11,P
DES3095-N,10,P
DES3095-N,10,P
DES3095-N,11,P
DES3095-N,11,P
DES4032-N,12,P
DES4032-N,8,P
DES4032-N,2,P
DES4032-N,8,P
DES4032-N,2,P
CAM1002-N,2,P
CAM1000-N,3,P
CAM1000-N,2,P
CAM1001-N,2,P
CAM1002-N,2,P
CAM1000-N,2,P
CAM1000-N,4,P
CAM1002-N,3,P
CAM1001-N,3,P
CAM1000-N,3,P
CAM1001-N,2,P
CAM1001-N,3,P
CAM1000-N,4,P
CAM1000-N,9,P
CAM1000-N,9,P
CAM1002-N,9,P
CAM1001-N,9,P
CAM1002-N,9,P
CAM1002-N,11,P
CAM1002-N,12,P
COM3037-N,2,P
COM3037-N,3,P
COM3037-N,5,P
COM3041-N,5,P
COM3036-N,6,P
COM3036-N,6,P
COM3036-N,6,P
COM3036-N,7,P
COM3037-N,7,P
COM3037-N,7,P
COM3037-N,6,P
COM3037-N,6,P
COM3037-N,6,P
COM3041-N,7,P
COM3041-N,6,P
COM3041-N,6,P
COM3036-N,4,P
COM3037-N,4,P
COM3041-N,5,P
COM3036-N,5,P
COM3036-N,5,P
COM3037-N,4,P
COM3037-N,4,P
COM3037-N,5,P
COM3037-N,5,P
COM3036-N,4,P
COM3041-N,5,P
COM3041-N,4,P
COM3051-N,4,P
COM3041-N,4,P
COM3041-N,3,P
COM3041-N,3,P
COM3037-N,3,P
COM3037-N,3,P
COM3036-N,3,P
COM3041-N,2,P
COM3041-N,3,P
COM3036-N,3,P
COM3036-N,3,P
COM3041-N,2,P
COM3037-N,2,P
COM3036-N,2,P
COM3036-N,2,P
COM3041-N,2,P
COM3036-N,2,P
COM3041-N,7,P
COM3041-N,7,P
COM3041-N,8,P
COM3041-N,8,P
COM3036-N,7,P
COM3036-N,8,P
COM3037-N,8,P
COM3037-N,8,P
COM3036-N,7,P
COM3041-N,11,P
COM3041-N,12,P
COM3037-N,12,P
COM3037-N,10,P
COM3037-N,10,P
COM3037-N,11,P
COM3037-N,11,P
COM3036-N,10,P
COM3036-N,11,P
COM3036-N,12,P
COM3041-N,10,P
COM3041-N,10,P
COM3037-N,9,P
COM3037-N,8,P
COM3037-N,7,P
COM3041-N,9,P
COM3036-N,9,P
COM3036-N,9,P
COM3036-N,8,P
COM3036-N,8,P
COM3036-N,9,P
COM3036-N,12,P
COM3036-N,13,P
COM3037-N,12,P
COM3041-N,12,P
COM3041-N,12,P
COM3041-N,13,P
GAV4018-N,7,P
GAV4017-N,6,P
GAV4018-N,6,P
GAV4028-N,2,P
GAV4028-N,3,P
GAV4028-N,4,P
GAV4018-N,3,P
GAV4028-N,4,P
GAV4028-N,3,P
GAV4028-N,4,P
GAV4018-N,5,P
GAV4028-N,5,P
GAV4017-N,4,P
GAV4018-N,5,P
GAV4018-N,5,P
GAV4028-N,5,P
GAV4017-N,5,P
GAV4018-N,2,P
GAV4017-N,3,P
GAV4028-N,3,P
GAV4018-N,3,P
GAV4028-N,2,P
GAV4018-N,3,P
GAV4028-N,2,P
GAV4018-N,4,P
GAV4018-N,4,P
GAV4018-N,8,P
GAV4018-N,8,P
GAV4028-N,8,P
GAV4017-N,8,P
GAV4028-N,7,P
GAV4018-N,7,P
GAV4028-N,8,P
GAV4017-N,9,P
GAV4018-N,9,P
GAV4018-N,9,P
GAV4018-N,12,P
GAV4018-N,12,P
GAV4028-N,12,P
GAV4018-N,11,P
GAV4018-N,2,P
GAV4018-N,13,P
GAV4028-N,13,P
GAV4028-N,9,P
GAV4017-N,10,P
GAV4018-N,10,P
GAV4018-N,10,P
GAV4028-N,10,P
GAV4028-N,10,P
GAV4028-N,11,P
GAV4018-N,11,P
MED3055-N,6,P
MED3030-N,6,P
MED3055-N,6,P
MPR3002-N,7,P
MPR3002-N,7,P
MPR3002-N,6,P
MPR3002-N,6,P
MED3055-N,5,P
MED3030-N,5,P
MPR3002-N,5,P
MED3030-N,5,P
MED3055-N,4,P
MED3030-N,4,P
MED3030-N,4,P
MPR3002-N,4,P
MPR3002-N,4,P
MED3030-N,3,P
MED3030-N,3,P
MED3055-N,3,P
MED3030-N,2,P
MPR3002-N,5,P
MPR3002-N,2,P
MED3055-N,2,P
MED3055-N,2,P
MPR3002-N,3,P
MPR3002-N,3,P
MED3055-N,9,P
MED0008-N,6,P
MED3055-N,7,P
MPR3002-N,8,P
MPR3002-N,8,P
MED3030-N,8,P
MED3030-N,8,P
MPR3002-N,9,P
MPR3002-N,9,P
MED3030-N,9,P
MED3055-N,8,P
MED3055-N,8,P
MED3030-N,12,P
MED3055-N,12,P
MED3055-N,12,P
MED3055-N,13,P
MED3055-N,13,P
MPR3002-N,13,P
MPR3002-N,13,P
MPR3002-N,12,P
MPR3002-N,12,P
MED3055-N,11,P
MED3030-N,11,P
MPR3002-N,11,P
MPR3002-N,11,P
MED3055-N,10,P
MPR3002-N,10,P
MPR3002-N,10,P
MED3030-N,10,P
COM3038-N,4,P
COM3038-N,3,P
COM3038-N,9,P
COM3038-N,11,P
COM3038-N,12,P
COM3038-N,10,P
MUL3055-N,6,P
COM3037-N,6,P
COM3041-N,7,P
COM3041-N,6,P
COM3037-N,7,P
COM3037-N,3,P
COM3037-N,2,P
MUL3055-N,4,P
COM3037-N,4,P
COM3041-N,5,P
COM3041-N,4,P
COM3037-N,4,P
COM3037-N,4,P
COM3041-N,3,P
COM3041-N,3,P
COM3041-N,4,P
COM3041-N,2,P
COM3041-N,2,P
COM3037-N,2,P
COM3037-N,3,P
COM3037-N,3,P
COM3041-N,3,P
COM3041-N,2,P
COM3041-N,12,P
COM3041-N,10,P
COM3037-N,12,P
COM3037-N,11,P
COM3037-N,10,P
COM3041-N,12,P
COM3037-N,13,P
COM3037-N,12,P
MUL3055-N,12,P
MUL3055-N,13,P
CIS0003-N,5,P
CIS0003-N,5,P
CIS0002-N,5,P
CIS0002-N,5,P
CIS0005-N,5,P
CIS0005-N,2,P
CIS0002-N,2,P
CIS0003-N,2,P
CIS0003-N,2,P
CIS0002-N,2,P
CIS0002-N,8,P
CIS0005-N,8,P
CIS0003-N,8,P
CIS0002-N,8,P
CIS0003-N,8,P
MFP2005-N,2,P
MFP2005-N,2,P
MFP2008-N,2,P
MFP2008-N,2,P
MFP2006-N,2,P
MFP2008-N,3,P
MFP2005-N,3,P
MFP2008-N,3,P
MFP2006-N,3,P
MFP2005-N,3,P
MFP2008-N,8,P
MFP2008-N,8,P
MFP2005-N,8,P
MFP2008-N,9,P
MFP2008-N,9,P
MFP2006-N,8,P
MFP2006-N,8,P
MFP2005-N,8,P
MFP2006-N,9,P
GAV4037-N,5,P
GAV4037-N,4,P
GAV4037-N,4,P
GAV4038-N,6,P
GAV4037-N,2,P
GAV4037-N,2,P
GAV4037-N,3,P
GAV4037-N,5,P
GAV4017-N,6,P
GAV4037-N,6,P
GAV4037-N,6,P
GAV4017-N,5,P
GAV4017-N,5,P
GAV4038-N,3,P
GAV4038-N,3,P
GAV4037-N,3,P
GAV4038-N,5,P
GAV4017-N,4,P
GAV4038-N,4,P
GAV4017-N,2,P
GAV4017-N,3,P
GAV4037-N,3,P
GAV4037-N,2,P
GAV4038-N,2,P
GAV4038-N,2,P
GAV4017-N,7,P
GAV4037-N,12,P
GAV4017-N,12,P
GAV4038-N,11,P
GAV4038-N,11,P
GAV4037-N,11,P
GAV4017-N,11,P
GAV4037-N,11,P
CAM4017-N,7,P
CAM4017-N,6,P
CAM4017-N,4,P
CAM4017-N,8,P
GAV2021-N,7,P
GAV2011-N,6,P
GAV2021-N,6,P
GAV2021-N,6,P
GAV2011-N,6,P
GAV2021-N,7,P
GAV2011-N,7,P
GAV2027-N,4,P
GAV2021-N,5,P
GAV2011-N,5,P
GAV2011-N,5,P
GAV2011-N,5,P
GAV2021-N,4,P
